source,service,timestamp,status
discord,global-status,20200508T020001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T050001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T140001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T210001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T190001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T080001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T040001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T100001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T230001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T170002,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
